"id","firstName","lastName","title","phoneNumber","phoneTypeId","phoneTypeName","email","departmentId","departmentName","parentDepartmentId","parentDepartmentName","isAdmin","personalId","branchId","jobs"
"1","승현","권","","4009","1","내선","tmp0000010@generated.email","16","의회","1","보령시","0","tmp0000010","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"2","동일","김","시장","3000","1","내선","tmp0000020@generated.email","4","시장실","1","보령시","0","tmp0000020","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"3","정훈","김","","4005","1","내선","tmp0000008@generated.email","16","의회","1","보령시","0","tmp0000008","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"4","충호","김","","4010","1","내선","tmp0000009@generated.email","16","의회","1","보령시","0","tmp0000009","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"5","홍기","김","","4001","1","내선","tmp0000017@generated.email","16","의회","1","보령시","0","tmp0000017","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"6","석주","문","","4008","1","내선","tmp0000011@generated.email","16","의회","1","보령시","0","tmp0000011","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"10","상모","박","","4004","1","내선","tmp0000012@generated.email","16","의회","1","보령시","0","tmp0000012","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"11","남숙","백","","4002","1","내선","tmp0000013@generated.email","16","의회","1","보령시","0","tmp0000013","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"13","규범","복","","3026","1","내선","tmp0000023@generated.email","12","박람회지원본부","1","보령시","0","tmp0000023","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"17","성철","조","","4007","1","내선","tmp0000014@generated.email","16","의회","1","보령시","0","tmp0000014","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"18","용식","최","","4011","1","내선","tmp0000015@generated.email","16","의회","1","보령시","0","tmp0000015","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"19","주경","최","","4003","1","내선","tmp0000016@generated.email","16","의회","1","보령시","0","tmp0000016","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"21","동인","한","","4006","1","내선","tmp0000007@generated.email","16","의회","1","보령시","0","tmp0000007","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"25","효열","고","부시장","3010","1","내선","kohyoyol@generated.email","5","부시장실","1","보령시","0","kohyoyol","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"26","자승","구","","0982","1","내선","isu999@generated.email","109","산림휴양팀","60","산림공원과","0","isu999","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"31","동일","김","시장","3000","1","내선","kdi002@generated.email","4","시장실","1","보령시","0","kdi002","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"36","월순","김","","3598","1","내선","ws4541@generated.email","110","청사관리팀","41","회계과","0","ws4541","0dbf43a0-a168-11e9-a893-49ac915e00a7","청사환경 정비(외부)"
"41","충열","맹","","0982","1","내선","iqeq12345@generated.email","109","산림휴양팀","60","산림공원과","0","iqeq12345","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"44","금순","박","","4000","1","내선","pksgood1004@generated.email","16","의회","1","보령시","0","pksgood1004","0dbf43a0-a168-11e9-a893-49ac915e00a7",""
"45","민승","박","","5948","1","내선","msa222@generated.email","111","진료팀","70","보건행정과","0","msa222","0dbf43a0-a168-11e9-a893-49ac915e00a7","내과진료"
